repository,url,stars,forks,language,owner,infected_files
neutralinojs/neutralinojs,https://github.com/neutralinojs/neutralinojs,8370,490,C++,neutralinojs,spec/runner.js
neutralinojs/neutralino.js,https://github.com/neutralinojs/neutralino.js,332,29,TypeScript,neutralinojs,.env|src/index.ts|package.json
neutralinojs/neutralinojs.github.io,https://github.com/neutralinojs/neutralinojs.github.io,257,97,JavaScript,neutralinojs,babel.config.js
neutralinojs/neutralinojs-cli,https://github.com/neutralinojs/neutralinojs-cli,113,17,JavaScript,neutralinojs,src/constants.js
PratikRaval123/DemoTask,https://github.com/PratikRaval123/DemoTask,15,1,JavaScript,PratikRaval123,tailwind.config.cjs
Victorola-coder/tewo,https://github.com/Victorola-coder/tewo,9,6,TypeScript,Victorola-coder,tailwind.config.js
Kreliannn/Document-Request-System-FRONTEND,https://github.com/Kreliannn/Document-Request-System-FRONTEND,8,1,JavaScript,Kreliannn,postcss.config.mjs
sparktechagency/Vap-shop-Front-End-,https://github.com/sparktechagency/Vap-shop-Front-End-,7,0,TypeScript,sparktechagency,postcss.config.mjs
Kreliannn/PDF-To-Reviewer-Quiz-FRONTEND,https://github.com/Kreliannn/PDF-To-Reviewer-Quiz-FRONTEND,7,0,TypeScript,Kreliannn,postcss.config.mjs
Codechef-VITC-Student-Chapter/Club-Integration-and-Management-Platform,https://github.com/Codechef-VITC-Student-Chapter/Club-Integration-and-Management-Platform,6,11,TypeScript,Codechef-VITC-Student-Chapter,Client/postcss.config.mjs
vellum-labs/cexplorer-api,https://github.com/vellum-labs/cexplorer-api,5,0,TypeScript,vellum-labs,packages/cexplorer-api/.eslintrc.cjs
Kreliannn/student-passed-rate-analysis-frontend,https://github.com/Kreliannn/student-passed-rate-analysis-frontend,5,0,TypeScript,Kreliannn,postcss.config.mjs
tanushbhootra576/turbo-happiness,https://github.com/tanushbhootra576/turbo-happiness,4,0,TypeScript,tanushbhootra576,postcss.config.mjs
tanushbhootra576/RESTRO,https://github.com/tanushbhootra576/RESTRO,4,0,JavaScript,tanushbhootra576,tailwind.config.js
tanushbhootra576/PWA_RESTRO,https://github.com/tanushbhootra576/PWA_RESTRO,4,0,JavaScript,tanushbhootra576,vite.config.js
tanushbhootra576/MoodSync,https://github.com/tanushbhootra576/MoodSync,4,0,JavaScript,tanushbhootra576,App.js
tanushbhootra576/game,https://github.com/tanushbhootra576/game,4,0,JavaScript,tanushbhootra576,postcss.config.mjs
tanushbhootra576/Bionary-Website-Challenge-and-final,https://github.com/tanushbhootra576/Bionary-Website-Challenge-and-final,4,2,JavaScript,tanushbhootra576,bionary_website/tailwind.config.js
Nathanim1919/portfolio-v2,https://github.com/Nathanim1919/portfolio-v2,4,0,TypeScript,Nathanim1919,postcss.config.mjs
brown2020/ikigaifinder,https://github.com/brown2020/ikigaifinder,4,1,TypeScript,brown2020,postcss.config.mjs
Atik203/Scholar-Flow,https://github.com/Atik203/Scholar-Flow,4,4,TypeScript,Atik203,apps/frontend/postcss.config.mjs
Yassin-Younis/bypass-in-app-browser,https://github.com/Yassin-Younis/bypass-in-app-browser,3,0,JavaScript,Yassin-Younis,next.config.mjs
SoftySkills/quiz_app,https://github.com/SoftySkills/quiz_app,3,0,TypeScript,SoftySkills,postcss.config.mjs
JudeTejada/Quick-Links,https://github.com/JudeTejada/Quick-Links,3,0,JavaScript,JudeTejada,eslint.config.js
dawahanigeria-team/rayyan-server,https://github.com/dawahanigeria-team/rayyan-server,3,0,TypeScript,dawahanigeria-team,eslint.config.mjs
coderkhalide/Trading-Journal,https://github.com/coderkhalide/Trading-Journal,3,1,TypeScript,coderkhalide,postcss.config.mjs
ahmadraza382/FinanceAi,https://github.com/ahmadraza382/FinanceAi,3,1,JavaScript,ahmadraza382,tailwind.config.js
Lithira-Silva/TrueClaim---ITPM-,https://github.com/Lithira-Silva/TrueClaim---ITPM-,2,0,TypeScript,Lithira-Silva,client/postcss.config.mjs
coderkhalide/Anti-Detect-Browser,https://github.com/coderkhalide/Anti-Detect-Browser,2,4,JavaScript,coderkhalide,src/renderer/tailwind.config.js
Atik203/Atik203.github.io,https://github.com/Atik203/Atik203.github.io,2,0,TypeScript,Atik203,tailwind.config.js
AbdulwahidHusein/Shipper-chat,https://github.com/AbdulwahidHusein/Shipper-chat,2,0,TypeScript,AbdulwahidHusein,frontend/postcss.config.mjs
WimpyvL/Zappy-Health-Dashboard,https://github.com/WimpyvL/Zappy-Health-Dashboard,1,0,TypeScript,WimpyvL,postcss.config.mjs
WeerasingheMSC/ASMS_Frontend,https://github.com/WeerasingheMSC/ASMS_Frontend,1,4,TypeScript,WeerasingheMSC,asms_frontend/postcss.config.mjs
web-ghoul/AlCazar,https://github.com/web-ghoul/AlCazar,1,0,JavaScript,web-ghoul,server/routes/admin.js
VplayProCrypto/mvp_vercel,https://github.com/VplayProCrypto/mvp_vercel,1,0,TypeScript,VplayProCrypto,tailwind.config.js
usman-174/VidSpark,https://github.com/usman-174/VidSpark,1,0,TypeScript,usman-174,client/tailwind.config.js
Umbrelabs-Projects/Procobiz,https://github.com/Umbrelabs-Projects/Procobiz,1,0,TypeScript,Umbrelabs-Projects,postcss.config.mjs
umarabid123/The_INTERNET_OF_AGENTS_HACKATHON,https://github.com/umarabid123/The_INTERNET_OF_AGENTS_HACKATHON,1,2,TypeScript,umarabid123,frontend/postcss.config.mjs
The-Extra-Project/Extra_surface_repo,https://github.com/The-Extra-Project/Extra_surface_repo,1,0,C++,The-Extra-Project,frontend/postcss.config.mjs
SouravDn-p/RexAuction,https://github.com/SouravDn-p/RexAuction,1,0,JavaScript,SouravDn-p,tailwind.config.js
SouravDn-p/mobile-canvas-nextjs,https://github.com/SouravDn-p/mobile-canvas-nextjs,1,1,JavaScript,SouravDn-p,postcss.config.mjs
ShifaLabs/shifa,https://github.com/ShifaLabs/shifa,1,1,JavaScript,ShifaLabs,postcss.config.mjs
Ruwanima/ella-south-star-frontend,https://github.com/Ruwanima/ella-south-star-frontend,1,0,TypeScript,Ruwanima,postcss.config.mjs
RinSanom/IoTWeb,https://github.com/RinSanom/IoTWeb,1,1,TypeScript,RinSanom,postcss.config.mjs
ranjannkumar/Food-Delivery-App,https://github.com/ranjannkumar/Food-Delivery-App,1,0,JavaScript,ranjannkumar,admin/.eslintrc.cjs
NatyJoseDie/proyecto-nginx,https://github.com/NatyJoseDie/proyecto-nginx,1,0,TypeScript,NatyJoseDie,eslint.config.mjs
muhammad-tahir-sultan/rehman-fyp-nextjs-multivendor,https://github.com/muhammad-tahir-sultan/rehman-fyp-nextjs-multivendor,1,0,TypeScript,muhammad-tahir-sultan,postcss.config.mjs
MIS-Silekta/silekta-frontend,https://github.com/MIS-Silekta/silekta-frontend,1,3,JavaScript,MIS-Silekta,postcss.config.mjs
Kvit-Dm/RammSound,https://github.com/Kvit-Dm/RammSound,1,0,JavaScript,Kvit-Dm,webpack.config.js
KeniKT/machinery_management_system,https://github.com/KeniKT/machinery_management_system,1,1,EJS,KeniKT,db.js
kanchana404/Google-bussiness-api-Get-reviews-and-Reply-reviews,https://github.com/kanchana404/Google-bussiness-api-Get-reviews-and-Reply-reviews,1,1,TypeScript,kanchana404,postcss.config.mjs
ifedolapoomoniyi/fleet-robotics,https://github.com/ifedolapoomoniyi/fleet-robotics,1,0,JavaScript,ifedolapoomoniyi,postcss.config.mjs
FSDTeam-SAA/cstrat_frontend,https://github.com/FSDTeam-SAA/cstrat_frontend,1,1,TypeScript,FSDTeam-SAA,postcss.config.mjs
CODECUBE-001/liteweb-landing,https://github.com/CODECUBE-001/liteweb-landing,1,0,TypeScript,CODECUBE-001,tailwind.config.cjs
Ayesha-Siddiqui1234/katy-youth-hackathon-2025-dev-post-,https://github.com/Ayesha-Siddiqui1234/katy-youth-hackathon-2025-dev-post-,1,0,JavaScript,Ayesha-Siddiqui1234,frontend/postcss.config.mjs
Automobile-System/frontend,https://github.com/Automobile-System/frontend,1,0,TypeScript,Automobile-System,postcss.config.mjs
Atik203/VocabPrep,https://github.com/Atik203/VocabPrep,1,0,TypeScript,Atik203,frontend/postcss.config.mjs
amMubbasher/shop.ceenami.com,https://github.com/amMubbasher/shop.ceenami.com,1,0,JavaScript,amMubbasher,server/routes/userRoutes.js
AKDebug-UX/whatsapp-bot-master,https://github.com/AKDebug-UX/whatsapp-bot-master,1,0,JavaScript,AKDebug-UX,config.js
AKDebug-UX/DoneWithIt,https://github.com/AKDebug-UX/DoneWithIt,1,0,JavaScript,AKDebug-UX,App.js
AKDebug-UX/challengePR,https://github.com/AKDebug-UX/challengePR,1,0,TypeScript,AKDebug-UX,postcss.config.mjs
AhmadRazaKhokhar1/resturants-app,https://github.com/AhmadRazaKhokhar1/resturants-app,1,0,TypeScript,AhmadRazaKhokhar1,postcss.config.mjs
ahmadraza382/Portfolio,https://github.com/ahmadraza382/Portfolio,1,0,JavaScript,ahmadraza382,postcss.config.mjs
ahmadraza382/Luxeurs-Shopping-Store,https://github.com/ahmadraza382/Luxeurs-Shopping-Store,1,0,JavaScript,ahmadraza382,postcss.config.mjs
ahmadraza382/Hospital-management-system,https://github.com/ahmadraza382/Hospital-management-system,1,0,JavaScript,ahmadraza382,postcss.config.mjs
Adharshms/miniproject,https://github.com/Adharshms/miniproject,1,1,JavaScript,Adharshms,server/controllers/authController.js
AbdulwahidHusein/portfolio-1,https://github.com/AbdulwahidHusein/portfolio-1,1,0,Astro,AbdulwahidHusein,astro.config.mjs
Abdulbasit219/UPSkaleAI,https://github.com/Abdulbasit219/UPSkaleAI,1,0,JavaScript,Abdulbasit219,postcss.config.mjs
Zentaurios/stable-monitor,https://github.com/Zentaurios/stable-monitor,0,0,TypeScript,Zentaurios,postcss.config.mjs
zaheerahmad92001/pettro,https://github.com/zaheerahmad92001/pettro,0,0,TypeScript,zaheerahmad92001,postcss.config.mjs
Yashpreetrana4790/Bestvocabulary_platform,https://github.com/Yashpreetrana4790/Bestvocabulary_platform,0,0,JavaScript,Yashpreetrana4790,postcss.config.mjs
