#,Repository,Owner,Owner Type,Infected Files,File Paths,Repo URL
1,01aksh/jobPilotFrontend,01aksh,User,1,tailwind.config.js,https://github.com/01aksh/jobPilotFrontend
2,213020aumc/nestjs-basics,213020aumc,User,1,eslint.config.mjs,https://github.com/213020aumc/nestjs-basics
3,a-belard/rayyan,a-belard,User,1,frontend/postcss.config.mjs,https://github.com/a-belard/rayyan
4,Abd-elrahmann/inestors-backend,Abd-elrahmann,User,1,server.js,https://github.com/Abd-elrahmann/inestors-backend
5,Abd-elrahmann/profit-backend,Abd-elrahmann,User,1,eslint.config.mjs,https://github.com/Abd-elrahmann/profit-backend
6,Abdalla1990/generate-questions,Abdalla1990,User,1,generate-questions/question-generation/config.js,https://github.com/Abdalla1990/generate-questions
7,abdullah2310ishaq/afronaut,abdullah2310ishaq,User,1,postcss.config.mjs,https://github.com/abdullah2310ishaq/afronaut
8,abdullah2310ishaq/personal-portfolio,abdullah2310ishaq,User,1,postcss.config.mjs,https://github.com/abdullah2310ishaq/personal-portfolio
9,abdullah2310ishaq/zeebuddy,abdullah2310ishaq,User,1,postcss.config.mjs,https://github.com/abdullah2310ishaq/zeebuddy
10,abdullah2310ishaq/resposive-doctor-websote,abdullah2310ishaq,User,1,postcss.config.mjs,https://github.com/abdullah2310ishaq/resposive-doctor-websote
11,abdullah2310ishaq/ecommerce_jewellery_store,abdullah2310ishaq,User,1,postcss.config.mjs,https://github.com/abdullah2310ishaq/ecommerce_jewellery_store
12,abdullah2310ishaq/company,abdullah2310ishaq,User,1,postcss.config.mjs,https://github.com/abdullah2310ishaq/company
13,AbdulwahidHusein/portfolio-1,AbdulwahidHusein,User,1,astro.config.mjs,https://github.com/AbdulwahidHusein/portfolio-1
14,AbdulwahidHusein/ai-tools-directory,AbdulwahidHusein,User,1,postcss.config.mjs,https://github.com/AbdulwahidHusein/ai-tools-directory
15,abimtad/upload_file,abimtad,User,1,postcss.config.mjs,https://github.com/abimtad/upload_file
16,acanaveras/autonomous_5g_slicing,acanaveras,User,1,NeMo-Agent-Toolkit-UI/tailwind.config.js,https://github.com/acanaveras/autonomous_5g_slicing
