#,User/Org,Display Name,Account Type,Followers,Public Repos,Affected Repos,Repo Count,GitHub URL
1,sparktechagency,Sparktech Agency,Organization,130,348,sparktechagency/nskustoms_custom_game_site-2.0 | sparktechagency/protippz_website | sparktechagency/Vap-shop-Front-End- | sparktechagency/silicon-zisan-website | sparktechagency/consult_dashboard | sparktechagency/jonowoods-website | sparktechagency/profitable-website-v2 | sparktechagency/faceAi-front-end | sparktechagency/any-job-dashboard | sparktechagency/anyjob-web | sparktechagency/betopia-website | sparktechagency/u_tee_hub,12,https://github.com/sparktechagency
2,FSDTeam-SAA,,Organization,21,286,FSDTeam-SAA/sahara_53 | FSDTeam-SAA/admin-dashboard-gman | FSDTeam-SAA/hinkel-Website | FSDTeam-SAA/iwmsadvisors | FSDTeam-SAA/lowready-frontend | FSDTeam-SAA/cstrat_frontend | FSDTeam-SAA/brazen-kits | FSDTeam-SAA/Igghy-dashboard | FSDTeam-SAA/nico41278-frontend | FSDTeam-SAA/AMES_Investment_new | FSDTeam-SAA/ftfdesignco-backend,11,https://github.com/FSDTeam-SAA
3,Softvence-Omega-Dev-Ninjas,Softvence Omega (Dev Ninjas),Organization,18,31,Softvence-Omega-Dev-Ninjas/diaz-jupiter-marine-frontend | Softvence-Omega-Dev-Ninjas/vic_pec_server_app | Softvence-Omega-Dev-Ninjas/jdadzok_server | Softvence-Omega-Dev-Ninjas/alvaaro-server,4,https://github.com/Softvence-Omega-Dev-Ninjas
4,Codechef-VITC-Student-Chapter,,Organization,17,12,Codechef-VITC-Student-Chapter/Club-Integration-and-Management-Platform,1,https://github.com/Codechef-VITC-Student-Chapter
5,softvence-omega-future-stack,Softvence Omega (Future Stack),Organization,11,5,softvence-omega-future-stack/gameluke-frontend | softvence-omega-future-stack/lawalx_frontend | softvence-omega-future-stack/kilian-rodhe-last- | softvence-omega-future-stack/huss-be,4,https://github.com/softvence-omega-future-stack
6,The-Extra-Project,Extra,Organization,11,9,The-Extra-Project/Extra_surface_repo,1,https://github.com/The-Extra-Project
7,etrainermis,RTB Development team,Organization,7,4,etrainermis/mineduc-Form,1,https://github.com/etrainermis
8,tricodenetwork,tricodepro,Organization,7,8,tricodenetwork/lock-up,1,https://github.com/tricodenetwork
9,Binary-Mindz,Binary Mindz,Organization,6,2,Binary-Mindz/agimtula_server,1,https://github.com/Binary-Mindz
10,Gamage-Recruiters-406,Gamage Recruiters 406,Organization,5,6,Gamage-Recruiters-406/Rent_a_Car,1,https://github.com/Gamage-Recruiters-406
11,SoftySkills,Softy Skills,Organization,5,12,SoftySkills/quiz_app,1,https://github.com/SoftySkills
12,Softvence-Omega-Cyber-Monk,Softvence Omega Cyber Monk,Organization,5,32,Softvence-Omega-Cyber-Monk/nishant-server,1,https://github.com/Softvence-Omega-Cyber-Monk
13,Sahl-AI,Sahl AI,Organization,4,3,Sahl-AI/sahl-ai-iframe,1,https://github.com/Sahl-AI
14,musetax,,Organization,3,3,musetax/Amus-fe,1,https://github.com/musetax
15,MIS-Silekta,,Organization,3,1,MIS-Silekta/silekta-frontend,1,https://github.com/MIS-Silekta
16,WeOwnNetwork,[LEGACY] ♾️ WeOwn.xyz 🌐,Organization,3,7,WeOwnNetwork/EthDenver-submission,1,https://github.com/WeOwnNetwork
17,FlowBondTech,FlowBond Tech,Organization,3,5,FlowBondTech/danz-miniapps | FlowBondTech/danz-web | FlowBondTech/egator,3,https://github.com/FlowBondTech
18,VplayProCrypto,VPLAY,Organization,3,2,VplayProCrypto/mvp_vercel,1,https://github.com/VplayProCrypto
19,Umbrelabs-Projects,Umbrelabs,Organization,2,5,Umbrelabs-Projects/Hostella-superAdmin | Umbrelabs-Projects/Hostella-admin | Umbrelabs-Projects/Hostella-stu | Umbrelabs-Projects/Procobiz,4,https://github.com/Umbrelabs-Projects
20,Anthem-InfoTech-Pvt-Ltd,Anthem InfoTech Pvt. Ltd.,Organization,2,3,Anthem-InfoTech-Pvt-Ltd/dashboards,1,https://github.com/Anthem-InfoTech-Pvt-Ltd
21,iwb25-412-vertex-prime,Moderato CMaaS (Open Source),Organization,2,9,iwb25-412-vertex-prime/apigateway-v1,1,https://github.com/iwb25-412-vertex-prime
22,BrennansWave-com,BrennansWave.com,Organization,2,1,BrennansWave-com/brennanswave,1,https://github.com/BrennansWave-com
23,dawahanigeria-team,dawahnigeria,Organization,2,2,dawahanigeria-team/domainping | dawahanigeria-team/rayyan-server,2,https://github.com/dawahanigeria-team
24,orynth-dev,orynth,Organization,2,9,orynth-dev/vite-shadcn-template,1,https://github.com/orynth-dev
25,NexumTechnologies,,Organization,1,1,NexumTechnologies/E-Commerce,1,https://github.com/NexumTechnologies
26,Cloudrika,Cloudrika,Organization,1,1,Cloudrika/cloudrika-web,1,https://github.com/Cloudrika
27,Automobile-System,,Organization,1,3,Automobile-System/frontend,1,https://github.com/Automobile-System
28,BhavikPatel-dreamz,Bhavik Patel,Organization,1,17,BhavikPatel-dreamz/wove-gift-portal | BhavikPatel-dreamz/DynamicDreamz-AIagent-Demos | BhavikPatel-dreamz/Homeopathway | BhavikPatel-dreamz/Products-filters-react,4,https://github.com/BhavikPatel-dreamz
29,GARAGE-POS,Karage,Organization,1,12,GARAGE-POS/nextjs_test,1,https://github.com/GARAGE-POS
30,Enigma-Incorporated-Ltd,Enigma Inc,Organization,1,3,Enigma-Incorporated-Ltd/N0DE-Website,1,https://github.com/Enigma-Incorporated-Ltd
31,Frontier-tech-consulting,,Organization,1,28,Frontier-tech-consulting/olas-mcp-application-workflow,1,https://github.com/Frontier-tech-consulting
32,UzairOrganization,,Organization,0,1,UzairOrganization/allTask,1,https://github.com/UzairOrganization
33,FlowRMS,,Organization,0,2,FlowRMS/flow-connect-frontend-new,1,https://github.com/FlowRMS
34,WeOwnAiAgents-Hackerhouse,,Organization,0,3,WeOwnAiAgents-Hackerhouse/WeOwnAiAgent,1,https://github.com/WeOwnAiAgents-Hackerhouse
35,Karigar-App,Karigar,Organization,0,1,Karigar-App/Karigar,1,https://github.com/Karigar-App
36,Addis-Career,Addis Career ,Organization,0,1,Addis-Career/Frontend,1,https://github.com/Addis-Career
37,FlowRMSLabs,,Organization,0,2,FlowRMSLabs/flowdemandwebsite,1,https://github.com/FlowRMSLabs
38,digitalschool-tech,digitalschool.tech,Organization,0,1,digitalschool-tech/tech-static,1,https://github.com/digitalschool-tech
39,QualifyAI,,Organization,0,2,QualifyAI/qualify-frontend,1,https://github.com/QualifyAI
40,shahid538org,,Organization,0,4,shahid538org/microrealestate,1,https://github.com/shahid538org
