"User/Org","Display Name","Account Type","Followers","Public Repos","Affected Repos","Repo Count","GitHub URL"
"Dominion116","Oyewale Dominion ","User","35","114","Dominion116/API-Test; Dominion116/EchoPass; Dominion116/FrameMarket; Dominion116/KeepUp; Dominion116/NovaWeb; Dominion116/Smile-TEST; Dominion116/Smile-TEST-2; Dominion116/StyleHub; Dominion116/VerbiVerse-Frontend; Dominion116/basetip-frontend; Dominion116/frontend; Dominion116/fundforge; Dominion116/futureblock; Dominion116/geoquest-frontend; Dominion116/memestack; Dominion116/modern-ui; Dominion116/my-app; Dominion116/my-celo-app; Dominion116/my-portfolio; Dominion116/octra-hw-sim-frontend; Dominion116/pepe; Dominion116/solwork; Dominion116/token-faucet; Dominion116/token-launcher; Dominion116/verbiverse-backend","25","https://github.com/Dominion116"
"XaidenLabs","DADIENG ALFRED GABRIEL ","User","17","101","XaidenLabs/AgentYield; XaidenLabs/Ecommerce; XaidenLabs/Library-management-system-NextJs; XaidenLabs/NextJs-Abuja-Bootcamp; XaidenLabs/OUTIS_Portfolio; XaidenLabs/ai-car-marketplace; XaidenLabs/ai-car-sale; XaidenLabs/cromuniverx; XaidenLabs/library-management-system; XaidenLabs/myreliq; XaidenLabs/new-mini-app-quickstart; XaidenLabs/scrapeflow-SaaS; XaidenLabs/solana-explorer-main; XaidenLabs/suburbia; XaidenLabs/workSafe; XaidenLabs/xanlytics; XaidenLabs/xanscope","17","https://github.com/XaidenLabs"
"rayhanalmim","Rayhan Al Mim ","User","14","123","rayhanalmim/BongoAI; rayhanalmim/BongoAI_server; rayhanalmim/Marchant; rayhanalmim/doc; rayhanalmim/foundry-cross-chain-rebase-token; rayhanalmim/foundry-defi-stablecoin; rayhanalmim/foundry_LV1; rayhanalmim/ipfs_localnode_with_hardhat; rayhanalmim/metaversAdmin; rayhanalmim/minimal-account-abstraction; rayhanalmim/mmbotGCB-client; rayhanalmim/news_ipfs_pinata_client; rayhanalmim/objectRecognizerAndFaceDetectAI; rayhanalmim/oveswapclientmainnet; rayhanalmim/v_nftclient; rayhanalmim/xmtp_mvp","16","https://github.com/rayhanalmim"
"alamin-sujon","Alamin Sujon ","User","4","111","alamin-sujon/backend_template; alamin-sujon/bigso_backend; alamin-sujon/carstore_backend; alamin-sujon/ci-cd; alamin-sujon/file_sure_backend; alamin-sujon/hats-master-backend; alamin-sujon/jm-tex; alamin-sujon/jm-tex-backend; alamin-sujon/new_danyel_backend; alamin-sujon/pioneer; alamin-sujon/project-9-client; alamin-sujon/project_4_frontend; alamin-sujon/project_5_backend; alamin-sujon/project_5_frontend; alamin-sujon/purple-cat-server","15","https://github.com/alamin-sujon"
"Farhanasharna2000","Farhana Akter Sharna  ","User","5","80","Farhanasharna2000/Alfabic; Farhanasharna2000/Apixcel_Dev; Farhanasharna2000/DeshTender; Farhanasharna2000/FMart; Farhanasharna2000/Gamer-zone; Farhanasharna2000/Hero-travel; Farhanasharna2000/Next-Blog; Farhanasharna2000/Nextjs-Car-Doctor; Farhanasharna2000/Nextjs-Project; Farhanasharna2000/Virtux-International; Farhanasharna2000/influencer-gear; Farhanasharna2000/kickstart-html-css; Farhanasharna2000/personal-website; Farhanasharna2000/redux-nextjs-practice","14","https://github.com/Farhanasharna2000"
"nimurr","Nimur Rahman Nerob ","User","9","153","nimurr/Backend_Temp; nimurr/Koukoutsa-Backend2.0; nimurr/Pricely-cusang_commerce-Backend; nimurr/Social-Media-App-Involved-Server; nimurr/Task-Management-Backend; nimurr/cobag-website; nimurr/ecommarce-full-stack-by-ClaudeAI; nimurr/ecommerce-amar-kid; nimurr/f-com-website-V2.0; nimurr/nimur-rahman-nerob-portfolio; nimurr/prediction-website-server; nimurr/suplify-website; nimurr/supplify-websitee; nimurr/the1787llc_Landing_pages_backend","14","https://github.com/nimurr"
"leothatguy","Leo ","User","25","114","leothatguy/Leo-AI-document-summarizer; leothatguy/ai-processing-text-interface; leothatguy/cardano_onchain_escrow; leothatguy/conference-ticket-generator; leothatguy/devlinks; leothatguy/embeddable-tour-web-app; leothatguy/lendsqr-test; leothatguy/mint-policy; leothatguy/primo-dashboard; leothatguy/smartcontractwallet; leothatguy/transfer-ckb; leothatguy/wallet-service; leothatguy/zetrochat","13","https://github.com/leothatguy"
"kazama20003","kazamaDev ","User","2","34","kazama20003/E-CommerceVia; kazama20003/Onesta-landing; kazama20003/enag-web; kazama20003/inkatravel-backend; kazama20003/inventarioRhino; kazama20003/phoenix-landing-page; kazama20003/potionStrong-FronEnd; kazama20003/tawantinsuyo-backend; kazama20003/travel-engine-frontend; kazama20003/veryfrut-backend; kazama20003/veryfrut-frontend; kazama20003/zaferzon-guzman","12","https://github.com/kazama20003"
"mjunayed2003","Md. Junayed ","User","1","39","mjunayed2003/HireHubJA-Backend; mjunayed2003/NewsChannel; mjunayed2003/Nextjs-Ecomerch; mjunayed2003/Nextjs-Ecomerch-2; mjunayed2003/UK-INKIND-CMS; mjunayed2003/al-amin; mjunayed2003/auth-chat-system; mjunayed2003/first-github-ci-cd-actions; mjunayed2003/kamrulhasan; mjunayed2003/nestJS; mjunayed2003/nestJS-CRUD-Oparation; mjunayed2003/shamimrana2006ww","12","https://github.com/mjunayed2003"
"ProvLeon","Okantah ","User","15","130","ProvLeon/agape-platform; ProvLeon/agrinvest_web; ProvLeon/brevework-website; ProvLeon/chat; ProvLeon/codeweave; ProvLeon/couldyou_chatbot; ProvLeon/downlink; ProvLeon/orlixis_audit_platform; ProvLeon/riel-films; ProvLeon/seaton-logistics-web; ProvLeon/socket_tut; ProvLeon/whatsapp-clone","12","https://github.com/ProvLeon"
"salmansarwarr","Salman Sarwar ","User","6","100","salmansarwarr/WonderCard; salmansarwarr/XRPL-iso20022-middleware; salmansarwarr/grab-n-go; salmansarwarr/idex; salmansarwarr/noottools-indexer; salmansarwarr/notttools; salmansarwarr/si3; salmansarwarr/si3-main-clone; salmansarwarr/solana-sniper-bot; salmansarwarr/subtrate-frontend; salmansarwarr/taskboard; salmansarwarr/unlock-webhook","12","https://github.com/salmansarwarr"
"KshSiaan","KSH Siaan ","User","6","64","KshSiaan/Raven-New; KshSiaan/confesso_backend; KshSiaan/diva; KshSiaan/howljs-test; KshSiaan/noir_v2; KshSiaan/portfolio_v8; KshSiaan/raven; KshSiaan/raven_bloom; KshSiaan/skokomo; KshSiaan/tawun; KshSiaan/tawun_coming-soon","11","https://github.com/KshSiaan"
"Mukela12","Mukela Katungu ","User","14","72","Mukela12/CGAZ-website; Mukela12/Kanye-qoutes; Mukela12/Omelette-ordering-system; Mukela12/Rive-asset-downloader; Mukela12/ben-auto-demo; Mukela12/dwello; Mukela12/flowdesk-demo; Mukela12/fluxium-wellness; Mukela12/puttinggreen-demo; Mukela12/trainer-aide-test; Mukela12/veduwa-demo","11","https://github.com/Mukela12"
"PradeepKundekar0101","Pradeep Kundekar ","User","222","103","PradeepKundekar0101/CarBooking2; PradeepKundekar0101/Portfolio; PradeepKundekar0101/WebRTC-POC; PradeepKundekar0101/ZapLaunch; PradeepKundekar0101/dashboard; PradeepKundekar0101/medical-ai; PradeepKundekar0101/meta100x; PradeepKundekar0101/probo; PradeepKundekar0101/react-hook-form; PradeepKundekar0101/sample-nodejs; PradeepKundekar0101/thread-clone-nextjs","11","https://github.com/PradeepKundekar0101"
"FSDTeam-SAA"," ","Organization","23","439","FSDTeam-SAA/frontend_gman; FSDTeam-SAA/ftfdesignco-backend-new; FSDTeam-SAA/heart-bridge-dialogue; FSDTeam-SAA/jwade16-backend; FSDTeam-SAA/kungfujew-backend; FSDTeam-SAA/opalmer1-dashboard; FSDTeam-SAA/stevenar77-backend; FSDTeam-SAA/topperscrowd-backend; FSDTeam-SAA/vendopos81-backend; FSDTeam-SAA/wellnessmclear-frontend","10","https://github.com/FSDTeam-SAA"
