"User/Org","Display Name","Account Type","Followers","Public Repos","Affected Repos","Repo Count","GitHub URL"
"khaledssbd","KHALED SIDDIQUE ","User","6","56","khaledssbd/KS-University-server; khaledssbd/RideRevolt-project; khaledssbd/SoulSyntax-project; khaledssbd/ThinkGreenly; khaledssbd/ThinkGreenly-apis; khaledssbd/TuneTrail-a-bike-service-management-solution-serverside; khaledssbd/Xpartex-App","7","https://github.com/khaledssbd"
"leothatguy","Leo ","User","25","114","leothatguy/ai-processing-text-interface; leothatguy/conference-ticket-generator; leothatguy/embeddable-tour-web-app; leothatguy/primo-dashboard; leothatguy/transfer-ckb; leothatguy/zetrochat","6","https://github.com/leothatguy"
"biny001","Binyamin Tamirat ","User","6","46","biny001/Metebaber; biny001/better-auth-sample; biny001/dicom-viewer; biny001/nexter-blog; biny001/nexter-car","5","https://github.com/biny001"
"cyhammad","Muhammad Hammad ","User","2","45","cyhammad/cdl-token; cyhammad/repair-home-center; cyhammad/repair-site; cyhammad/repair-site-3; cyhammad/wide-home-uae-repairs","5","https://github.com/cyhammad"
"DammyCodes-all","Olagunju Alameen Olasubomi ","User","15","53","DammyCodes-all/audiophile-e-commerce; DammyCodes-all/hng-i14-backend; DammyCodes-all/mojito-gsap-landingpage; DammyCodes-all/recyclog-next; DammyCodes-all/shadow-save-bot","5","https://github.com/DammyCodes-all"
"DojoPercy","David ojo ","User","3","46","DojoPercy/Pelatbboard; DojoPercy/World-Congress-Business-Leaders; DojoPercy/energyNews; DojoPercy/ilm-business; DojoPercy/portfolio","5","https://github.com/DojoPercy"
"Dominion116","Oyewale Dominion ","User","35","114","Dominion116/API-Test; Dominion116/Smile-TEST; Dominion116/Smile-TEST-2; Dominion116/futureblock; Dominion116/my-portfolio","5","https://github.com/Dominion116"
"FSDTeam-SAA"," ","Organization","23","439","FSDTeam-SAA/ftfdesignco-backend-new; FSDTeam-SAA/heart-bridge-dialogue; FSDTeam-SAA/stevenar77-backend; FSDTeam-SAA/vendopos81-backend; FSDTeam-SAA/wellnessmclear-frontend","5","https://github.com/FSDTeam-SAA"
"aindrajaya","Arista Indrajaya ","User","46","224","aindrajaya/funneldash; aindrajaya/node-proxy-server; aindrajaya/senda-api; aindrajaya/virtual-run-api","4","https://github.com/aindrajaya"
"igudy","igudy ","User","41","111","igudy/AuraApparel; igudy/GoogleAuthReactNative; igudy/SoftGlow; igudy/shopiverse","4","https://github.com/igudy"
